customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date,purchase_decision,Cluster,high_purchase_customer,purchase_label,Cluster_Label
1,37,1,4,85886,14,18,41.2,6,20,0.95,0,Very satisfied with my purchase.,2025-06-22,1,1,0,0,Low Engagement Customer
2,40,1,5,41041,4,10,31.73,4,29,0.21,0,Good quality and value for money.,2025-10-17,1,1,0,0,Low Engagement Customer
3,69,0,0,143869,59,39,65.96,12,26,0.08,0,Excellent customer service.,2025-07-01,1,3,1,1,Other
4,30,1,8,87261,45,34,51.87,12,7,0.61,0,Good quality and value for money.,2025-08-17,1,2,1,1,Potential Customer
5,69,0,8,110678,40,38,59.64,13,16,0.49,0,Excellent customer service.,2025-06-21,1,3,1,1,Other
6,28,1,0,90330,2,7,35.63,1,19,0.81,1,The product did not match the description.,2024-10-25,1,0,0,0,High Value Customer
7,40,1,5,27302,51,29,38.99,10,16,0.8,0,Love the products and fast shipping.,2025-07-06,1,1,1,1,Low Engagement Customer
8,21,1,1,39171,83,15,48.84,3,18,0.91,0,The website is easy to use.,2025-05-29,1,0,0,0,High Value Customer
9,47,1,5,54766,27,23,35.37,8,13,0.63,0,Excellent customer service.,2025-10-15,1,1,1,1,Low Engagement Customer
10,42,0,5,47550,46,32,47.16,12,7,0.41,0,Excellent customer service.,2025-09-07,1,2,1,1,Potential Customer
11,62,0,9,103020,51,36,59.03,13,14,0.66,0,Very satisfied with my purchase.,2025-06-06,1,3,1,1,Other
12,28,0,4,91009,9,23,35.26,9,17,0.18,0,"Great experience, will shop again!",2025-05-05,1,1,1,1,Low Engagement Customer
13,32,1,5,29700,44,33,29.87,13,21,0.46,0,"Great experience, will shop again!",2025-09-18,1,1,1,1,Low Engagement Customer
14,56,1,6,98727,41,41,39.71,15,23,0.35,0,Very satisfied with my purchase.,2025-06-05,1,1,1,1,Low Engagement Customer
15,31,0,5,76075,73,30,47.96,9,21,0.9,0,Love the products and fast shipping.,2025-06-02,1,2,1,1,Potential Customer
16,52,1,4,151138,70,17,67.35,2,12,0.98,1,I will not be shopping here again.,2024-02-16,1,3,0,0,Other
17,66,1,9,96555,32,19,39.75,5,4,0.7,0,Very satisfied with my purchase.,2025-05-07,1,1,0,0,Low Engagement Customer
18,42,1,9,148387,57,27,64.71,6,1,0.6,0,The website is easy to use.,2025-09-10,1,3,1,1,Other
19,43,0,6,122773,19,23,55.65,8,19,0.76,0,Very satisfied with my purchase.,2025-09-09,1,3,1,1,Other
20,27,1,4,128322,100,35,67.03,9,19,0.99,0,Very satisfied with my purchase.,2025-06-13,1,3,1,1,Other
21,51,1,8,49081,48,39,38.09,15,9,0.83,0,Excellent customer service.,2025-05-07,1,1,1,1,Low Engagement Customer
22,24,1,4,63638,15,9,44.73,1,29,0.07,0,Love the products and fast shipping.,2025-10-12,1,0,0,0,High Value Customer
23,60,0,4,57291,24,33,40.71,14,23,0.56,0,Love the products and fast shipping.,2025-09-11,1,1,1,1,Low Engagement Customer
24,27,0,5,61231,19,12,30.18,3,29,0.6,1,Customer service was unhelpful.,2024-04-14,1,0,0,0,High Value Customer
25,31,1,9,60556,46,32,39.24,12,15,0.15,0,Very satisfied with my purchase.,2025-10-22,1,1,1,1,Low Engagement Customer
26,20,0,1,24357,26,5,22.49,0,9,0.07,0,Very satisfied with my purchase.,2025-09-16,1,0,0,0,High Value Customer
27,47,1,5,74685,51,35,44.68,12,10,0.64,0,"Great experience, will shop again!",2025-09-30,1,2,1,1,Potential Customer
28,29,1,9,44097,56,17,32.12,5,10,0.7,0,The website is easy to use.,2025-07-10,1,0,0,0,High Value Customer
29,60,0,1,48679,53,38,39.06,14,8,0.07,0,The website is easy to use.,2025-05-28,1,2,1,1,Potential Customer
30,47,1,3,52479,46,19,46.73,5,10,0.56,0,"Great experience, will shop again!",2025-06-25,1,1,0,0,Low Engagement Customer
31,64,0,5,68630,53,29,51.14,9,28,0.53,0,Very satisfied with my purchase.,2025-07-17,1,2,1,1,Potential Customer
32,60,1,5,52317,5,24,33.61,11,9,0.43,0,Excellent customer service.,2025-08-10,1,1,1,1,Low Engagement Customer
33,70,0,5,41175,52,15,34.11,4,2,0.13,0,Very satisfied with my purchase.,2025-09-06,1,1,0,0,Low Engagement Customer
34,55,1,9,110571,89,18,61.1,1,27,0.4,0,Good quality and value for money.,2025-05-13,1,3,0,0,Other
35,24,0,4,80985,61,24,49.0,6,16,0.24,0,The website is easy to use.,2025-07-10,1,0,1,1,High Value Customer
36,65,0,9,62863,31,29,40.59,12,20,0.03,0,Love the products and fast shipping.,2025-06-22,1,1,1,1,Low Engagement Customer
37,58,1,0,51883,96,17,44.97,3,9,0.86,0,Excellent customer service.,2025-08-03,1,2,0,0,Potential Customer
38,18,1,5,53324,49,8,49.17,0,29,0.56,0,The website is easy to use.,2025-07-06,1,0,0,0,High Value Customer
39,43,0,8,123560,64,43,65.15,14,18,0.15,0,Love the products and fast shipping.,2025-10-04,1,3,1,1,Other
40,64,1,4,78108,67,15,50.55,2,15,0.16,0,Good quality and value for money.,2025-08-02,1,2,0,0,Potential Customer
41,44,0,5,64826,49,24,35.85,7,8,0.92,0,The website is easy to use.,2025-09-14,1,1,1,1,Low Engagement Customer
42,37,1,9,52309,88,23,57.04,5,6,0.7,0,Good quality and value for money.,2025-08-05,1,2,1,1,Potential Customer
43,65,1,0,48657,70,31,34.53,11,27,0.64,0,"Great experience, will shop again!",2025-06-25,1,2,1,1,Potential Customer
44,64,1,0,104706,82,42,48.13,14,8,0.16,0,Love the products and fast shipping.,2025-05-24,1,2,1,1,Potential Customer
45,31,1,0,123714,61,26,49.91,7,8,0.06,0,The website is easy to use.,2025-09-11,1,3,1,1,Other
46,64,1,9,165148,15,16,59.24,3,17,0.09,0,Excellent customer service.,2025-09-04,1,3,0,0,Other
47,45,1,3,68891,100,12,44.54,0,1,0.88,0,Good quality and value for money.,2025-08-08,1,2,0,0,Potential Customer
48,42,0,6,103250,66,41,55.52,14,2,0.17,0,The website is easy to use.,2025-09-14,1,2,1,1,Potential Customer
49,39,1,8,115437,68,29,51.09,9,19,0.88,1,I will not be shopping here again.,2024-05-25,1,3,1,1,Other
50,24,0,5,51623,53,13,31.19,3,9,0.36,0,Love the products and fast shipping.,2025-08-12,1,0,0,0,High Value Customer
51,29,0,4,72639,12,15,39.1,4,29,0.89,0,Excellent customer service.,2025-08-01,1,0,0,0,High Value Customer
52,53,1,4,106920,2,29,47.28,11,17,0.84,0,Very satisfied with my purchase.,2025-05-23,1,1,1,1,Low Engagement Customer
53,18,0,7,61354,60,11,38.92,0,21,0.26,0,The website is easy to use.,2025-09-08,1,0,0,0,High Value Customer
54,48,1,9,63890,90,28,54.99,7,29,0.61,0,The website is easy to use.,2025-06-12,1,2,1,1,Potential Customer
55,24,1,0,129197,82,21,63.89,4,7,0.04,0,Very satisfied with my purchase.,2025-06-17,1,3,0,0,Other
56,35,1,9,62574,4,3,36.55,0,22,0.82,1,"Poor quality, item broke after a week.",2023-12-30,1,0,0,0,High Value Customer
57,55,0,2,152239,29,39,63.7,14,12,0.18,0,Very satisfied with my purchase.,2025-10-10,1,3,1,1,Other
58,29,0,7,34324,7,19,30.18,8,9,0.74,1,Difficult to navigate the website.,2024-10-30,1,1,0,0,Low Engagement Customer
59,43,1,6,102871,62,19,57.63,3,22,0.43,0,"Great experience, will shop again!",2025-08-14,1,3,0,0,Other
60,28,0,4,59316,100,30,60.29,8,6,0.07,0,Very satisfied with my purchase.,2025-08-19,1,2,1,1,Potential Customer
61,52,0,5,25471,13,13,24.72,5,24,0.47,1,I will not be shopping here again.,2024-11-11,1,1,0,0,Low Engagement Customer
62,35,1,8,132984,86,22,73.0,4,26,0.95,0,The website is easy to use.,2025-08-21,1,3,0,1,Other
63,63,1,1,51006,2,18,35.48,8,22,0.85,1,"Poor quality, item broke after a week.",2024-04-14,1,1,0,0,Low Engagement Customer
64,62,1,2,125241,69,30,61.97,8,17,0.36,0,Good quality and value for money.,2025-08-10,1,3,1,1,Other
